"nationality","count","age","overall","potential","pac","sho","pas","dri","def","phy","longitude","latitude"
"Spain","1020","25.1725","69.8794","74.7608","67.1657","56.3980","61.9843","65.5049","53.2716","65.0578","-4","40"
"Sri Lanka","1","22.0000","60.0000","70.0000","82.0000","53.0000","49.0000","68.0000","28.0000","54.0000","81","7"
"Sudan","2","22.5000","61.0000","68.0000","70.5000","57.0000","51.0000","62.5000","26.0000","55.0000","30","15"
"Suriname","3","27.6667","69.3333","69.6667","70.3333","58.3333","64.0000","67.3333","58.3333","70.0000","-56","4"
"Swaziland","1","20.0000","63.0000","72.0000","71.0000","51.0000","62.0000","69.0000","43.0000","38.0000","31.5","-26.5"
"Sweden","373","25.0804","64.4182","69.2708","66.5308","51.7560","56.5898","61.0054","46.1796","65.2252","15","62"
"Switzerland","230","24.0783","63.8565","70.9870","65.8391","51.0783","55.8304","60.3913","49.3348","63.1043","8","47"
"Syria","4","26.7500","73.2500","76.2500","73.2500","70.7500","65.7500","72.0000","37.0000","69.0000","38","35"
"São Tomé and Príncipe","1","30.0000","64.0000","64.0000","72.0000","63.0000","48.0000","59.0000","28.0000","57.0000","7","1"
"Tanzania","2","22.5000","67.5000","75.5000","82.0000","64.0000","56.5000","68.0000","27.0000","64.0000","35","-6"
"Thailand","2","21.5000","59.0000","68.5000","74.5000","50.5000","53.5000","64.0000","30.0000","45.0000","100","15"
"Togo","8","28.0000","70.7500","72.0000","79.8750","59.7500","63.6250","70.0000","43.1250","64.2500","1.16667","8"
"Trinidad and Tobago","9","25.1111","68.2222","71.6667","72.8889","56.0000","60.2222","67.4444","52.3333","68.6667","-61","11"
"Tunisia","32","27.1250","68.4375","71.1563","66.1875","56.1563","59.7188","64.0313","48.1875","66.4375","9","34"
"Turkey","292","24.9897","67.1301","72.0205","67.4384","55.3699","59.6336","65.4486","50.7534","63.5205","35","39"
"Turkmenistan","1","30.0000","63.0000","63.0000","76.0000","61.0000","56.0000","69.0000","35.0000","49.0000","60","40"
"Uganda","4","24.7500","63.5000","68.0000","72.2500","50.0000","53.0000","62.0000","57.0000","69.7500","32","1"
"Ukraine","51","25.9608","70.2745","73.7451","68.7255","58.4902","61.7843","64.3725","52.4314","66.9804","32","49"
"United States","378","25.2963","65.0397","69.6164","67.7063","53.1138","57.4815","61.6693","50.7381","65.8069","-97","38"
"Uruguay","154","26.1429","69.5325","73.2273","68.7468","57.6883","59.4416","64.9870","49.6234","66.4286","-56","-33"
"Uzbekistan","5","27.6000","68.4000","70.4000","73.6000","56.6000","61.8000","65.4000","57.0000","65.6000","64","41"
"Venezuela","53","24.9057","69.1132","74.0000","68.4528","56.6981","58.6604","65.6604","46.6604","64.3585","-66","8"
"Vietnam","1","22.0000","61.0000","67.0000","67.0000","50.0000","58.0000","58.0000","46.0000","61.0000","107.833","16.1667"
"Wales","124","24.8548","64.2500","70.1290","66.5403","50.0645","55.5565","59.8065","50.4758","65.7500","-3.78371","52.1307"
"Zambia","8","21.7500","64.0000","72.3750","75.0000","54.8750","54.5000","62.8750","40.0000","61.2500","30","-15"
"Zimbabwe","10","26.0000","67.7000","71.8000","74.9000","54.8000","56.7000","65.2000","46.9000","66.9000","30","-20"
